master,codec,lag,lufs,crest_db,mdyn_median_db,mdyn_soften_db,res_L_db,res_R_db,res_M_db,res_S_db,visqol_moslqo
orig,(none),0,-17.12,18.55,11.03,,,,,,
moderate,(none),0,-10.8,13.72,10.86,,,,,,
crushed,(none),0,-7.18,10.1,10.25,,,,,,
orig,sbc328,73,-17.12,18.54,11.05,0.073,-43.27,-44.6,-44.58,-43.51,
orig,sbc229,73,-17.12,18.58,11.05,0.085,-35.26,-36.55,-36.53,-35.49,
orig,aptx,90,-17.12,18.54,11.05,0.037,-43.55,-44.49,-44.66,-43.53,
orig,aptxhd,90,-17.12,18.55,11.05,0.017,-55.77,-56.73,-56.89,-55.76,
orig,aac256,0,-17.13,18.56,11.04,0.053,-33.58,-35.19,-34.79,-34.26,
orig,aac160,0,-17.13,18.55,11.02,0.088,-27.56,-29.12,-28.7,-28.26,
moderate,sbc328,73,-10.8,13.69,10.88,0.035,-43.04,-44.04,-44.1,-43.03,
moderate,sbc229,73,-10.8,13.76,10.89,0.05,-35.45,-36.33,-36.44,-35.38,
moderate,aptx,90,-10.8,13.73,10.88,0.033,-43.42,-44.36,-44.48,-43.35,
moderate,aptxhd,90,-10.8,13.72,10.87,0.011,-55.64,-56.59,-56.72,-55.56,
moderate,aac256,0,-10.81,13.75,10.87,0.053,-32.71,-33.78,-33.49,-33.09,
moderate,aac160,0,-10.82,13.67,10.85,0.095,-27.23,-28.3,-27.97,-27.66,
crushed,sbc328,73,-7.18,10.1,10.25,0.031,-43.86,-44.13,-44.48,-43.44,
crushed,sbc229,73,-7.18,10.1,10.25,0.049,-36.2,-36.3,-36.71,-35.71,
crushed,aptx,90,-7.18,10.1,10.25,0.039,-43.59,-44.38,-44.51,-43.37,
crushed,aptxhd,90,-7.18,10.1,10.25,0.016,-55.81,-56.59,-56.72,-55.6,
crushed,aac256,0,-7.2,10.37,10.26,0.062,-31.65,-31.97,-31.95,-31.63,
crushed,aac160,0,-7.2,10.59,10.24,0.107,-26.66,-26.97,-26.93,-26.68,
